site_id,segment_id,year,state
943740-99999,12,2014,0
943740-99999,13,2015,1
943740-99999,13,2016,1
943740-99999,13,2017,1
943740-99999,13,2018,1
943740-99999,13,2019,1
944760-99999,0,1939,1
944760-99999,0,1940,1
944760-99999,0,1941,1
944760-99999,0,1942,1
944760-99999,0,1943,1
944760-99999,0,1944,1
944760-99999,1,1945,0
944760-99999,1,1946,0
944760-99999,1,1947,0
944760-99999,1,1948,0
944760-99999,1,1949,0
944760-99999,1,1950,0
944760-99999,1,1951,0
944760-99999,1,1952,0
944760-99999,1,1953,0
944760-99999,1,1954,0
944760-99999,2,1955,0
944760-99999,2,1956,0
944760-99999,2,1957,0
944760-99999,2,1958,0
944760-99999,2,1959,0
944760-99999,3,1960,0
944760-99999,3,1961,0
944760-99999,3,1962,0
944760-99999,3,1963,0
944760-99999,3,1964,0
944760-99999,3,1965,0
944760-99999,3,1966,0
944760-99999,3,1967,0
944760-99999,3,1968,0
944760-99999,3,1969,0
944760-99999,4,1970,0
944760-99999,4,1971,0
944760-99999,4,1972,0
944760-99999,4,1973,0
944760-99999,4,1974,0
944760-99999,5,1975,1
944760-99999,5,1976,1
944760-99999,5,1977,1
944760-99999,5,1978,1
944760-99999,5,1979,1
944760-99999,6,1980,1
944760-99999,6,1981,1
944760-99999,6,1982,1
944760-99999,6,1983,1
944760-99999,6,1984,1
944760-99999,7,1985,0
944760-99999,7,1986,0
944760-99999,7,1987,0
944760-99999,7,1988,0
944760-99999,7,1989,0
944760-99999,7,1990,0
944760-99999,7,1991,0
944760-99999,7,1992,0
944760-99999,7,1993,0
944760-99999,7,1994,0
944760-99999,7,1995,0
944760-99999,7,1996,0
944760-99999,7,1997,0
944760-99999,7,1998,0
944760-99999,7,1999,0
944760-99999,7,2000,0
944760-99999,7,2001,0
944760-99999,7,2002,0
944760-99999,7,2003,0
944760-99999,7,2004,0
944760-99999,7,2005,0
944760-99999,7,2006,0
944760-99999,7,2007,0
944760-99999,7,2008,0
944760-99999,7,2009,0
944760-99999,7,2010,0
944760-99999,7,2011,0
944760-99999,7,2012,0
944760-99999,7,2013,0
944760-99999,7,2014,0
944760-99999,7,2015,0
944760-99999,7,2016,0
944760-99999,7,2017,0
944760-99999,7,2018,0
944760-99999,7,2019,0
