site_id,segment_id,year,state
763820-99999,9,2000,1
764990-99999,0,1950,1
764990-99999,0,1951,1
764990-99999,0,1952,1
764990-99999,0,1953,1
764990-99999,0,1954,1
764990-99999,1,1955,1
764990-99999,1,1956,1
764990-99999,1,1957,1
764990-99999,1,1958,1
764990-99999,1,1959,1
764990-99999,2,1960,1
764990-99999,2,1961,1
764990-99999,2,1962,1
764990-99999,2,1963,1
764990-99999,2,1964,1
764990-99999,3,1965,1
764990-99999,3,1966,1
764990-99999,3,1967,1
764990-99999,3,1968,1
764990-99999,3,1969,1
764990-99999,4,1970,1
764990-99999,4,1971,1
764990-99999,4,1972,1
764990-99999,4,1973,1
764990-99999,4,1974,1
764990-99999,5,1975,0
764990-99999,5,1976,0
764990-99999,5,1977,0
764990-99999,5,1978,0
764990-99999,5,1979,0
764990-99999,6,1980,0
764990-99999,6,1981,0
764990-99999,6,1982,0
764990-99999,6,1983,0
764990-99999,6,1984,0
764990-99999,6,1985,0
764990-99999,6,1986,0
764990-99999,6,1987,0
764990-99999,6,1988,0
764990-99999,6,1989,0
764990-99999,7,1990,1
764990-99999,7,1991,1
764990-99999,7,1992,1
764990-99999,7,1993,1
764990-99999,7,1994,1
764990-99999,8,1995,1
764990-99999,8,1996,1
764990-99999,8,1997,1
764990-99999,8,1998,1
764990-99999,8,1999,1
764990-99999,8,2000,1
843900-99999,0,1950,0
843900-99999,0,1951,0
843900-99999,0,1952,0
843900-99999,0,1953,0
843900-99999,0,1954,0
843900-99999,0,1955,0
843900-99999,0,1956,0
843900-99999,0,1957,0
843900-99999,0,1958,0
843900-99999,0,1959,0
843900-99999,0,1960,0
843900-99999,0,1961,0
843900-99999,0,1962,0
843900-99999,0,1963,0
843900-99999,0,1964,0
843900-99999,0,1965,0
843900-99999,0,1966,0
843900-99999,0,1967,0
843900-99999,0,1968,0
843900-99999,0,1969,0
843900-99999,0,1970,0
843900-99999,0,1971,0
843900-99999,0,1972,0
843900-99999,0,1973,0
843900-99999,0,1974,0
843900-99999,1,1975,0
843900-99999,1,1976,0
843900-99999,1,1977,0
843900-99999,1,1978,0
843900-99999,1,1979,0
843900-99999,2,1980,0
843900-99999,2,1981,0
843900-99999,2,1982,0
843900-99999,2,1983,0
843900-99999,2,1984,0
843900-99999,3,1985,0
843900-99999,3,1986,0
843900-99999,3,1987,0
843900-99999,3,1988,0
843900-99999,3,1989,0
843900-99999,4,1990,1
843900-99999,4,1991,1
843900-99999,4,1992,1
843900-99999,4,1993,1
843900-99999,4,1994,1
843900-99999,5,1995,1
843900-99999,5,1996,1
843900-99999,5,1997,1
843900-99999,5,1998,1
843900-99999,5,1999,1
843900-99999,5,2000,1
847520-99999,0,1950,0
847520-99999,0,1951,0
847520-99999,0,1952,0
847520-99999,0,1953,0
847520-99999,0,1954,0
847520-99999,0,1955,0
847520-99999,0,1956,0
847520-99999,0,1957,0
847520-99999,0,1958,0
847520-99999,0,1959,0
847520-99999,0,1960,0
847520-99999,0,1961,0
847520-99999,0,1962,0
847520-99999,0,1963,0
847520-99999,0,1964,0
847520-99999,1,1965,0
847520-99999,1,1966,0
847520-99999,1,1967,0
847520-99999,1,1968,0
847520-99999,1,1969,0
847520-99999,2,1970,0
847520-99999,2,1971,0
847520-99999,2,1972,0
847520-99999,2,1973,0
847520-99999,2,1974,0
847520-99999,3,1975,0
847520-99999,3,1976,0
847520-99999,3,1977,0
847520-99999,3,1978,0
847520-99999,3,1979,0
847520-99999,4,1980,0
847520-99999,4,1981,0
847520-99999,4,1982,0
847520-99999,4,1983,0
847520-99999,4,1984,0
847520-99999,5,1985,0
847520-99999,5,1986,0
847520-99999,5,1987,0
847520-99999,5,1988,0
847520-99999,5,1989,0
847520-99999,6,1990,0
847520-99999,6,1991,0
847520-99999,6,1992,0
847520-99999,6,1993,0
847520-99999,6,1994,0
847520-99999,7,1995,0
847520-99999,7,1996,0
847520-99999,7,1997,0
847520-99999,7,1998,0
847520-99999,7,1999,0
847520-99999,7,2000,0
911820-22521,0,1950,0
911820-22521,0,1951,0
911820-22521,0,1952,0
911820-22521,0,1953,0
911820-22521,0,1954,0
911820-22521,1,1955,0
911820-22521,1,1956,0
911820-22521,1,1957,0
911820-22521,1,1958,0
911820-22521,1,1959,0
911820-22521,2,1960,0
911820-22521,2,1961,0
911820-22521,2,1962,0
911820-22521,2,1963,0
911820-22521,2,1964,0
911820-22521,3,1965,0
911820-22521,3,1966,0
911820-22521,3,1967,0
911820-22521,3,1968,0
911820-22521,3,1969,0
911820-22521,4,1970,0
911820-22521,4,1971,0
911820-22521,4,1972,0
911820-22521,4,1973,0
911820-22521,4,1974,0
911820-22521,5,1975,0
911820-22521,5,1976,0
911820-22521,5,1977,0
911820-22521,5,1978,0
911820-22521,5,1979,0
911820-22521,6,1980,0
911820-22521,6,1981,0
911820-22521,6,1982,0
911820-22521,6,1983,0
911820-22521,6,1984,0
911820-22521,7,1985,0
911820-22521,7,1986,0
911820-22521,7,1987,0
911820-22521,7,1988,0
911820-22521,7,1989,0
911820-22521,8,1990,0
911820-22521,8,1991,0
911820-22521,8,1992,0
911820-22521,8,1993,0
911820-22521,8,1994,0
911820-22521,9,1995,0
911820-22521,9,1996,0
911820-22521,9,1997,0
911820-22521,9,1998,0
911820-22521,9,1999,0
911820-22521,9,2000,0
942030-99999,0,1950,0
942030-99999,0,1951,0
942030-99999,0,1952,0
942030-99999,0,1953,0
942030-99999,0,1954,0
942030-99999,1,1955,0
942030-99999,1,1956,0
942030-99999,1,1957,0
942030-99999,1,1958,0
942030-99999,1,1959,0
942030-99999,2,1960,0
942030-99999,2,1961,0
942030-99999,2,1962,0
942030-99999,2,1963,0
942030-99999,2,1964,0
942030-99999,3,1965,0
942030-99999,3,1966,0
942030-99999,3,1967,0
942030-99999,3,1968,0
942030-99999,3,1969,0
942030-99999,4,1970,0
942030-99999,4,1971,0
942030-99999,4,1972,0
942030-99999,4,1973,0
942030-99999,4,1974,0
942030-99999,5,1975,0
942030-99999,5,1976,0
942030-99999,5,1977,0
942030-99999,5,1978,0
942030-99999,5,1979,0
942030-99999,6,1980,0
942030-99999,6,1981,0
942030-99999,6,1982,0
942030-99999,6,1983,0
942030-99999,6,1984,0
942030-99999,7,1985,0
942030-99999,7,1986,0
942030-99999,7,1987,0
942030-99999,7,1988,0
942030-99999,7,1989,0
942030-99999,8,1990,0
942030-99999,8,1991,0
942030-99999,8,1992,0
942030-99999,8,1993,0
942030-99999,8,1994,0
942030-99999,9,1995,0
942030-99999,9,1996,0
942030-99999,9,1997,0
942030-99999,9,1998,0
942030-99999,9,1999,0
942030-99999,9,2000,0
943740-99999,0,1950,1
943740-99999,0,1951,1
943740-99999,0,1952,1
943740-99999,0,1953,1
943740-99999,0,1954,1
943740-99999,1,1955,0
943740-99999,1,1956,0
943740-99999,1,1957,0
943740-99999,1,1958,0
943740-99999,1,1959,0
943740-99999,2,1960,0
943740-99999,2,1961,0
943740-99999,2,1962,0
943740-99999,2,1963,0
943740-99999,2,1964,0
943740-99999,3,1965,0
943740-99999,3,1966,0
943740-99999,3,1967,0
943740-99999,3,1968,0
943740-99999,3,1969,0
943740-99999,4,1970,0
943740-99999,4,1971,0
943740-99999,4,1972,0
943740-99999,4,1973,0
943740-99999,4,1974,0
943740-99999,5,1975,0
943740-99999,5,1976,0
943740-99999,5,1977,0
943740-99999,5,1978,0
943740-99999,5,1979,0
943740-99999,6,1980,0
943740-99999,6,1981,0
943740-99999,6,1982,0
943740-99999,6,1983,0
943740-99999,6,1984,0
943740-99999,7,1985,1
943740-99999,7,1986,1
943740-99999,7,1987,1
943740-99999,7,1988,1
943740-99999,7,1989,1
943740-99999,8,1990,0
943740-99999,8,1991,0
943740-99999,8,1992,0
943740-99999,8,1993,0
943740-99999,8,1994,0
943740-99999,9,1995,0
943740-99999,9,1996,0
943740-99999,9,1997,0
943740-99999,9,1998,0
943740-99999,9,1999,0
943740-99999,9,2000,0
946370-99999,0,1950,1
946370-99999,0,1951,1
946370-99999,0,1952,1
946370-99999,0,1953,1
946370-99999,0,1954,1
946370-99999,1,1955,1
946370-99999,1,1956,1
946370-99999,1,1957,1
946370-99999,1,1958,1
946370-99999,1,1959,1
946370-99999,2,1960,1
946370-99999,2,1961,1
946370-99999,2,1962,1
946370-99999,2,1963,1
946370-99999,2,1964,1
946370-99999,2,1965,1
946370-99999,2,1966,1
946370-99999,2,1967,1
946370-99999,2,1968,1
946370-99999,2,1969,1
946370-99999,3,1970,0
946370-99999,3,1971,0
946370-99999,3,1972,0
946370-99999,3,1973,0
946370-99999,3,1974,0
946370-99999,4,1975,0
946370-99999,4,1976,0
946370-99999,4,1977,0
946370-99999,4,1978,0
946370-99999,4,1979,0
946370-99999,5,1980,0
946370-99999,5,1981,0
946370-99999,5,1982,0
946370-99999,5,1983,0
946370-99999,5,1984,0
946370-99999,6,1985,0
946370-99999,6,1986,0
946370-99999,6,1987,0
946370-99999,6,1988,0
946370-99999,6,1989,0
946370-99999,7,1990,1
946370-99999,7,1991,1
946370-99999,7,1992,1
946370-99999,7,1993,1
946370-99999,7,1994,1
946370-99999,8,1995,0
946370-99999,8,1996,0
946370-99999,8,1997,0
946370-99999,8,1998,0
946370-99999,8,1999,0
946370-99999,8,2000,0
946530-99999,0,1950,0
946530-99999,0,1951,0
946530-99999,0,1952,0
946530-99999,0,1953,0
946530-99999,0,1954,0
946530-99999,1,1955,0
946530-99999,1,1956,0
946530-99999,1,1957,0
946530-99999,1,1958,0
946530-99999,1,1959,0
946530-99999,2,1960,0
946530-99999,2,1961,0
946530-99999,2,1962,0
946530-99999,2,1963,0
946530-99999,2,1964,0
946530-99999,3,1965,0
946530-99999,3,1966,0
946530-99999,3,1967,0
946530-99999,3,1968,0
946530-99999,3,1969,0
946530-99999,4,1970,0
946530-99999,4,1971,0
946530-99999,4,1972,0
946530-99999,4,1973,0
946530-99999,4,1974,0
946530-99999,5,1975,0
946530-99999,5,1976,0
946530-99999,5,1977,0
946530-99999,5,1978,0
946530-99999,5,1979,0
946530-99999,6,1980,0
946530-99999,6,1981,0
946530-99999,6,1982,0
946530-99999,6,1983,0
946530-99999,6,1984,0
946530-99999,7,1985,0
946530-99999,7,1986,0
946530-99999,7,1987,0
946530-99999,7,1988,0
946530-99999,7,1989,0
946530-99999,8,1990,0
946530-99999,8,1991,0
946530-99999,8,1992,0
946530-99999,8,1993,0
946530-99999,8,1994,0
946530-99999,9,1995,0
946530-99999,9,1996,0
946530-99999,9,1997,0
946530-99999,9,1998,0
946530-99999,9,1999,0
946530-99999,9,2000,0
