site_id,segment_id,start_idx,end_idx,start_date,end_date,length
761600-99999,6,30,34,1980-01-01,1984-01-01,5
761600-99999,7,35,39,1985-01-01,1989-01-01,5
761600-99999,8,40,44,1990-01-01,1994-01-01,5
761600-99999,9,45,50,1995-01-01,2000-01-01,6
763420-99999,0,0,4,1950-01-01,1954-01-01,5
763420-99999,1,5,9,1955-01-01,1959-01-01,5
763420-99999,2,10,14,1960-01-01,1964-01-01,5
763420-99999,3,15,19,1965-01-01,1969-01-01,5
763420-99999,4,20,24,1970-01-01,1974-01-01,5
763420-99999,5,25,29,1975-01-01,1979-01-01,5
763420-99999,6,30,34,1980-01-01,1984-01-01,5
763420-99999,7,35,39,1985-01-01,1989-01-01,5
763420-99999,8,40,44,1990-01-01,1994-01-01,5
763420-99999,9,45,50,1995-01-01,2000-01-01,6
763820-99999,0,0,4,1950-01-01,1954-01-01,5
763820-99999,1,5,9,1955-01-01,1959-01-01,5
763820-99999,2,10,14,1960-01-01,1964-01-01,5
763820-99999,3,15,19,1965-01-01,1969-01-01,5
763820-99999,4,20,24,1970-01-01,1974-01-01,5
763820-99999,5,25,29,1975-01-01,1979-01-01,5
763820-99999,6,30,34,1980-01-01,1984-01-01,5
763820-99999,7,35,39,1985-01-01,1989-01-01,5
763820-99999,8,40,44,1990-01-01,1994-01-01,5
763820-99999,9,45,50,1995-01-01,2000-01-01,6
764990-99999,0,0,4,1950-01-01,1954-01-01,5
764990-99999,1,5,9,1955-01-01,1959-01-01,5
764990-99999,2,10,14,1960-01-01,1964-01-01,5
764990-99999,3,15,19,1965-01-01,1969-01-01,5
764990-99999,4,20,24,1970-01-01,1974-01-01,5
764990-99999,5,25,29,1975-01-01,1979-01-01,5
764990-99999,6,30,39,1980-01-01,1989-01-01,10
764990-99999,7,40,44,1990-01-01,1994-01-01,5
764990-99999,8,45,50,1995-01-01,2000-01-01,6
843900-99999,0,0,24,1950-01-01,1974-01-01,25
843900-99999,1,25,29,1975-01-01,1979-01-01,5
843900-99999,2,30,34,1980-01-01,1984-01-01,5
843900-99999,3,35,39,1985-01-01,1989-01-01,5
843900-99999,4,40,44,1990-01-01,1994-01-01,5
843900-99999,5,45,50,1995-01-01,2000-01-01,6
847520-99999,0,0,14,1950-01-01,1964-01-01,15
847520-99999,1,15,19,1965-01-01,1969-01-01,5
847520-99999,2,20,24,1970-01-01,1974-01-01,5
847520-99999,3,25,29,1975-01-01,1979-01-01,5
847520-99999,4,30,34,1980-01-01,1984-01-01,5
847520-99999,5,35,39,1985-01-01,1989-01-01,5
847520-99999,6,40,44,1990-01-01,1994-01-01,5
847520-99999,7,45,50,1995-01-01,2000-01-01,6
911820-22521,0,0,4,1950-01-01,1954-01-01,5
911820-22521,1,5,9,1955-01-01,1959-01-01,5
911820-22521,2,10,14,1960-01-01,1964-01-01,5
911820-22521,3,15,19,1965-01-01,1969-01-01,5
911820-22521,4,20,24,1970-01-01,1974-01-01,5
911820-22521,5,25,29,1975-01-01,1979-01-01,5
911820-22521,6,30,34,1980-01-01,1984-01-01,5
911820-22521,7,35,39,1985-01-01,1989-01-01,5
911820-22521,8,40,44,1990-01-01,1994-01-01,5
911820-22521,9,45,50,1995-01-01,2000-01-01,6
942030-99999,0,0,4,1950-01-01,1954-01-01,5
942030-99999,1,5,9,1955-01-01,1959-01-01,5
942030-99999,2,10,14,1960-01-01,1964-01-01,5
942030-99999,3,15,19,1965-01-01,1969-01-01,5
942030-99999,4,20,24,1970-01-01,1974-01-01,5
942030-99999,5,25,29,1975-01-01,1979-01-01,5
942030-99999,6,30,34,1980-01-01,1984-01-01,5
942030-99999,7,35,39,1985-01-01,1989-01-01,5
942030-99999,8,40,44,1990-01-01,1994-01-01,5
942030-99999,9,45,50,1995-01-01,2000-01-01,6
943740-99999,0,0,4,1950-01-01,1954-01-01,5
943740-99999,1,5,9,1955-01-01,1959-01-01,5
943740-99999,2,10,14,1960-01-01,1964-01-01,5
943740-99999,3,15,19,1965-01-01,1969-01-01,5
943740-99999,4,20,24,1970-01-01,1974-01-01,5
943740-99999,5,25,29,1975-01-01,1979-01-01,5
943740-99999,6,30,34,1980-01-01,1984-01-01,5
943740-99999,7,35,39,1985-01-01,1989-01-01,5
943740-99999,8,40,44,1990-01-01,1994-01-01,5
943740-99999,9,45,50,1995-01-01,2000-01-01,6
946370-99999,0,0,4,1950-01-01,1954-01-01,5
946370-99999,1,5,9,1955-01-01,1959-01-01,5
946370-99999,2,10,19,1960-01-01,1969-01-01,10
946370-99999,3,20,24,1970-01-01,1974-01-01,5
946370-99999,4,25,29,1975-01-01,1979-01-01,5
946370-99999,5,30,34,1980-01-01,1984-01-01,5
946370-99999,6,35,39,1985-01-01,1989-01-01,5
946370-99999,7,40,44,1990-01-01,1994-01-01,5
946370-99999,8,45,50,1995-01-01,2000-01-01,6
946530-99999,0,0,4,1950-01-01,1954-01-01,5
946530-99999,1,5,9,1955-01-01,1959-01-01,5
946530-99999,2,10,14,1960-01-01,1964-01-01,5
946530-99999,3,15,19,1965-01-01,1969-01-01,5
946530-99999,4,20,24,1970-01-01,1974-01-01,5
946530-99999,5,25,29,1975-01-01,1979-01-01,5
946530-99999,6,30,34,1980-01-01,1984-01-01,5
946530-99999,7,35,39,1985-01-01,1989-01-01,5
946530-99999,8,40,44,1990-01-01,1994-01-01,5
946530-99999,9,45,50,1995-01-01,2000-01-01,6
